# Player co-occurrence graph for 2015
# Format: player1	player2	weight	team
Adrian San Miguel	Alexis Mac Allister	1	Liverpool
Adrian San Miguel	Alisson Becker	1	Liverpool
Adrian San Miguel	Daniel Sturridge	1	Liverpool
Adrian San Miguel	Fabinho	1	Liverpool
Adrian San Miguel	Fernando Torres	1	Liverpool
Adrian San Miguel	Gini Wijnaldum	1	Liverpool
Adrian San Miguel	James Milner	1	Liverpool
Adrian San Miguel	Joe Gomez	1	Liverpool
Adrian San Miguel	Luis Diaz	1	Liverpool
Adrian San Miguel	Martin Skrtel	1	Liverpool
Adrian San Miguel	Mohamed Salah	1	Liverpool
Adrian San Miguel	Roberto Firmino	1	Liverpool
Adrian San Miguel	Sami Hyypia	1	Liverpool
Adrian San Miguel	Steven Gerrard	1	Liverpool
Adrian San Miguel	Thiago Alcantara	1	Liverpool
Adrian San Miguel	Trent Alexander-Arnold	1	Liverpool
Adrian San Miguel	Virgil van Dijk	1	Liverpool
Adrian San Miguel	Xabi Alonso	1	Liverpool
Alexis Mac Allister	Alisson Becker	1	Liverpool
Alexis Mac Allister	Daniel Sturridge	1	Liverpool
Alexis Mac Allister	Fabinho	1	Liverpool
Alexis Mac Allister	Fernando Torres	1	Liverpool
Alexis Mac Allister	Gini Wijnaldum	1	Liverpool
Alexis Mac Allister	James Milner	1	Liverpool
Alexis Mac Allister	Joe Gomez	1	Liverpool
Alexis Mac Allister	Luis Diaz	1	Liverpool
Alexis Mac Allister	Martin Skrtel	1	Liverpool
Alexis Mac Allister	Mohamed Salah	1	Liverpool
Alexis Mac Allister	Roberto Firmino	1	Liverpool
Alexis Mac Allister	Sami Hyypia	1	Liverpool
Alexis Mac Allister	Steven Gerrard	1	Liverpool
Alexis Mac Allister	Thiago Alcantara	1	Liverpool
Alexis Mac Allister	Trent Alexander-Arnold	1	Liverpool
Alexis Mac Allister	Virgil van Dijk	1	Liverpool
Alexis Mac Allister	Xabi Alonso	1	Liverpool
Alisson Becker	Daniel Sturridge	1	Liverpool
Alisson Becker	Fabinho	1	Liverpool
Alisson Becker	Fernando Torres	1	Liverpool
Alisson Becker	Gini Wijnaldum	1	Liverpool
Alisson Becker	James Milner	1	Liverpool
Alisson Becker	Joe Gomez	1	Liverpool
Alisson Becker	Luis Diaz	1	Liverpool
Alisson Becker	Martin Skrtel	1	Liverpool
Alisson Becker	Mohamed Salah	1	Liverpool
Alisson Becker	Roberto Firmino	1	Liverpool
Alisson Becker	Sami Hyypia	1	Liverpool
Alisson Becker	Steven Gerrard	1	Liverpool
Alisson Becker	Thiago Alcantara	1	Liverpool
Alisson Becker	Trent Alexander-Arnold	1	Liverpool
Alisson Becker	Virgil van Dijk	1	Liverpool
Alisson Becker	Xabi Alonso	1	Liverpool
Daniel Sturridge	Fabinho	1	Liverpool
Daniel Sturridge	Fernando Torres	1	Liverpool
Daniel Sturridge	Gini Wijnaldum	1	Liverpool
Daniel Sturridge	James Milner	1	Liverpool
Daniel Sturridge	Joe Gomez	1	Liverpool
Daniel Sturridge	Luis Diaz	1	Liverpool
Daniel Sturridge	Martin Skrtel	1	Liverpool
Daniel Sturridge	Mohamed Salah	1	Liverpool
Daniel Sturridge	Roberto Firmino	1	Liverpool
Daniel Sturridge	Sami Hyypia	1	Liverpool
Daniel Sturridge	Steven Gerrard	1	Liverpool
Daniel Sturridge	Thiago Alcantara	1	Liverpool
Daniel Sturridge	Trent Alexander-Arnold	1	Liverpool
Daniel Sturridge	Virgil van Dijk	1	Liverpool
Daniel Sturridge	Xabi Alonso	1	Liverpool
Fabinho	Fernando Torres	1	Liverpool
Fabinho	Gini Wijnaldum	1	Liverpool
Fabinho	James Milner	1	Liverpool
Fabinho	Joe Gomez	1	Liverpool
Fabinho	Luis Diaz	1	Liverpool
Fabinho	Martin Skrtel	1	Liverpool
Fabinho	Mohamed Salah	1	Liverpool
Fabinho	Roberto Firmino	1	Liverpool
Fabinho	Sami Hyypia	1	Liverpool
Fabinho	Steven Gerrard	1	Liverpool
Fabinho	Thiago Alcantara	1	Liverpool
Fabinho	Trent Alexander-Arnold	1	Liverpool
Fabinho	Virgil van Dijk	1	Liverpool
Fabinho	Xabi Alonso	1	Liverpool
Fernando Torres	Gini Wijnaldum	1	Liverpool
Fernando Torres	James Milner	1	Liverpool
Fernando Torres	Joe Gomez	1	Liverpool
Fernando Torres	Luis Diaz	1	Liverpool
Fernando Torres	Martin Skrtel	1	Liverpool
Fernando Torres	Mohamed Salah	1	Liverpool
Fernando Torres	Roberto Firmino	1	Liverpool
Fernando Torres	Sami Hyypia	1	Liverpool
Fernando Torres	Steven Gerrard	1	Liverpool
Fernando Torres	Thiago Alcantara	1	Liverpool
Fernando Torres	Trent Alexander-Arnold	1	Liverpool
Fernando Torres	Virgil van Dijk	1	Liverpool
Fernando Torres	Xabi Alonso	1	Liverpool
Gini Wijnaldum	James Milner	1	Liverpool
Gini Wijnaldum	Joe Gomez	1	Liverpool
Gini Wijnaldum	Luis Diaz	1	Liverpool
Gini Wijnaldum	Martin Skrtel	1	Liverpool
Gini Wijnaldum	Mohamed Salah	1	Liverpool
Gini Wijnaldum	Roberto Firmino	1	Liverpool
Gini Wijnaldum	Sami Hyypia	1	Liverpool
Gini Wijnaldum	Steven Gerrard	1	Liverpool
Gini Wijnaldum	Thiago Alcantara	1	Liverpool
Gini Wijnaldum	Trent Alexander-Arnold	1	Liverpool
Gini Wijnaldum	Virgil van Dijk	1	Liverpool
Gini Wijnaldum	Xabi Alonso	1	Liverpool
James Milner	Joe Gomez	1	Liverpool
James Milner	Luis Diaz	1	Liverpool
James Milner	Martin Skrtel	1	Liverpool
James Milner	Mohamed Salah	1	Liverpool
James Milner	Roberto Firmino	1	Liverpool
James Milner	Sami Hyypia	1	Liverpool
James Milner	Steven Gerrard	1	Liverpool
James Milner	Thiago Alcantara	1	Liverpool
James Milner	Trent Alexander-Arnold	1	Liverpool
James Milner	Virgil van Dijk	1	Liverpool
James Milner	Xabi Alonso	1	Liverpool
Joe Gomez	Luis Diaz	1	Liverpool
Joe Gomez	Martin Skrtel	1	Liverpool
Joe Gomez	Mohamed Salah	1	Liverpool
Joe Gomez	Roberto Firmino	1	Liverpool
Joe Gomez	Sami Hyypia	1	Liverpool
Joe Gomez	Steven Gerrard	1	Liverpool
Joe Gomez	Thiago Alcantara	1	Liverpool
Joe Gomez	Trent Alexander-Arnold	1	Liverpool
Joe Gomez	Virgil van Dijk	1	Liverpool
Joe Gomez	Xabi Alonso	1	Liverpool
Luis Diaz	Martin Skrtel	1	Liverpool
Luis Diaz	Mohamed Salah	1	Liverpool
Luis Diaz	Roberto Firmino	1	Liverpool
Luis Diaz	Sami Hyypia	1	Liverpool
Luis Diaz	Steven Gerrard	1	Liverpool
Luis Diaz	Thiago Alcantara	1	Liverpool
Luis Diaz	Trent Alexander-Arnold	1	Liverpool
Luis Diaz	Virgil van Dijk	1	Liverpool
Luis Diaz	Xabi Alonso	1	Liverpool
Martin Skrtel	Mohamed Salah	1	Liverpool
Martin Skrtel	Roberto Firmino	1	Liverpool
Martin Skrtel	Sami Hyypia	1	Liverpool
Martin Skrtel	Steven Gerrard	1	Liverpool
Martin Skrtel	Thiago Alcantara	1	Liverpool
Martin Skrtel	Trent Alexander-Arnold	1	Liverpool
Martin Skrtel	Virgil van Dijk	1	Liverpool
Martin Skrtel	Xabi Alonso	1	Liverpool
Mohamed Salah	Roberto Firmino	1	Liverpool
Mohamed Salah	Sami Hyypia	1	Liverpool
Mohamed Salah	Steven Gerrard	1	Liverpool
Mohamed Salah	Thiago Alcantara	1	Liverpool
Mohamed Salah	Trent Alexander-Arnold	1	Liverpool
Mohamed Salah	Virgil van Dijk	1	Liverpool
Mohamed Salah	Xabi Alonso	1	Liverpool
Roberto Firmino	Sami Hyypia	1	Liverpool
Roberto Firmino	Steven Gerrard	1	Liverpool
Roberto Firmino	Thiago Alcantara	1	Liverpool
Roberto Firmino	Trent Alexander-Arnold	1	Liverpool
Roberto Firmino	Virgil van Dijk	1	Liverpool
Roberto Firmino	Xabi Alonso	1	Liverpool
Sami Hyypia	Steven Gerrard	1	Liverpool
Sami Hyypia	Thiago Alcantara	1	Liverpool
Sami Hyypia	Trent Alexander-Arnold	1	Liverpool
Sami Hyypia	Virgil van Dijk	1	Liverpool
Sami Hyypia	Xabi Alonso	1	Liverpool
Steven Gerrard	Thiago Alcantara	1	Liverpool
Steven Gerrard	Trent Alexander-Arnold	1	Liverpool
Steven Gerrard	Virgil van Dijk	1	Liverpool
Steven Gerrard	Xabi Alonso	1	Liverpool
Thiago Alcantara	Trent Alexander-Arnold	1	Liverpool
Thiago Alcantara	Virgil van Dijk	1	Liverpool
Thiago Alcantara	Xabi Alonso	1	Liverpool
Trent Alexander-Arnold	Virgil van Dijk	1	Liverpool
Trent Alexander-Arnold	Xabi Alonso	1	Liverpool
Virgil van Dijk	Xabi Alonso	1	Liverpool
Adrian San Miguel	Caoimhin Kelleher	1	Liverpool
Adrian San Miguel	Cody Gakpo	1	Liverpool
Adrian San Miguel	Daniel Agger	1	Liverpool
Adrian San Miguel	Harvey Elliott	1	Liverpool
Adrian San Miguel	Jordan Henderson	1	Liverpool
Adrian San Miguel	Sadio Mane	1	Liverpool
Alexis Mac Allister	Caoimhin Kelleher	1	Liverpool
Alexis Mac Allister	Cody Gakpo	1	Liverpool
Alexis Mac Allister	Daniel Agger	1	Liverpool
Alexis Mac Allister	Harvey Elliott	1	Liverpool
Alexis Mac Allister	Jordan Henderson	1	Liverpool
Alexis Mac Allister	Sadio Mane	1	Liverpool
Caoimhin Kelleher	Cody Gakpo	1	Liverpool
Caoimhin Kelleher	Daniel Agger	1	Liverpool
Caoimhin Kelleher	Daniel Sturridge	1	Liverpool
Caoimhin Kelleher	Fabinho	1	Liverpool
Caoimhin Kelleher	Fernando Torres	1	Liverpool
Caoimhin Kelleher	Gini Wijnaldum	1	Liverpool
Caoimhin Kelleher	Harvey Elliott	1	Liverpool
Caoimhin Kelleher	James Milner	1	Liverpool
Caoimhin Kelleher	Joe Gomez	1	Liverpool
Caoimhin Kelleher	Jordan Henderson	1	Liverpool
Caoimhin Kelleher	Martin Skrtel	1	Liverpool
Caoimhin Kelleher	Sadio Mane	1	Liverpool
Caoimhin Kelleher	Steven Gerrard	1	Liverpool
Caoimhin Kelleher	Thiago Alcantara	1	Liverpool
Caoimhin Kelleher	Virgil van Dijk	1	Liverpool
Caoimhin Kelleher	Xabi Alonso	1	Liverpool
Cody Gakpo	Daniel Agger	1	Liverpool
Cody Gakpo	Daniel Sturridge	1	Liverpool
Cody Gakpo	Fabinho	1	Liverpool
Cody Gakpo	Fernando Torres	1	Liverpool
Cody Gakpo	Gini Wijnaldum	1	Liverpool
Cody Gakpo	Harvey Elliott	1	Liverpool
Cody Gakpo	James Milner	1	Liverpool
Cody Gakpo	Joe Gomez	1	Liverpool
Cody Gakpo	Jordan Henderson	1	Liverpool
Cody Gakpo	Martin Skrtel	1	Liverpool
Cody Gakpo	Sadio Mane	1	Liverpool
Cody Gakpo	Steven Gerrard	1	Liverpool
Cody Gakpo	Thiago Alcantara	1	Liverpool
Cody Gakpo	Virgil van Dijk	1	Liverpool
Cody Gakpo	Xabi Alonso	1	Liverpool
Daniel Agger	Daniel Sturridge	1	Liverpool
Daniel Agger	Fabinho	1	Liverpool
Daniel Agger	Fernando Torres	1	Liverpool
Daniel Agger	Gini Wijnaldum	1	Liverpool
Daniel Agger	Harvey Elliott	1	Liverpool
