# Player co-occurrence graph for AC Milan
# Format: player1	player2	total_weight	seasons
Alessandro Nesta	Andrea Pirlo	15	[2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024]
Alessandro Nesta	Andriy Shevchenko	12	[2010,2011,2012,2013,2014,2016,2017,2018,2019,2020,2021,2023]
Alessandro Nesta	Brahim Diaz	15	[2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024]
Alessandro Nesta	Cafu	15	[2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024]
Alessandro Nesta	Christian Pulisic	13	[2010,2012,2013,2014,2015,2016,2017,2018,2019,2021,2022,2023,2024]
Alessandro Nesta	Clarence Seedorf	15	[2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024]
Alessandro Nesta	Davide Calabria	15	[2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024]
Alessandro Nesta	Fikayo Tomori	15	[2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024]
Alessandro Nesta	Filippo Inzaghi	14	[2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2022,2023,2024]
Alessandro Nesta	Gennaro Gattuso	15	[2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024]
Alessandro Nesta	Gianluigi Donnarumma	14	[2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2023,2024]
Alessandro Nesta	Ismael Bennacer	15	[2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024]
Alessandro Nesta	Kaka	15	[2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024]
Alessandro Nesta	Mike Maignan	12	[2010,2011,2012,2013,2015,2016,2018,2019,2020,2022,2023,2024]
Alessandro Nesta	Olivier Giroud	15	[2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024]
Alessandro Nesta	Paolo Maldini	15	[2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024]
Alessandro Nesta	Rafael Leao	15	[2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024]
Alessandro Nesta	Samuel Chukwueze	14	[2010,2011,2012,2013,2014,2015,2017,2018,2019,2020,2021,2022,2023,2024]
