# Player co-occurrence graph for AS Roma
# Format: player1	player2	total_weight	seasons
Bryan Cristante	Cafu	15	[2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024]
Bryan Cristante	Chris Smalling	15	[2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024]
Bryan Cristante	Daniele De Rossi	15	[2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024]
Bryan Cristante	Edin Dzeko	15	[2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024]
Bryan Cristante	Francesco Totti	26	[2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024]
Bryan Cristante	Gabriel Batistuta	15	[2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024]
Bryan Cristante	Gianluca Mancini	15	[2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024]
Bryan Cristante	John Arne Riise	15	[2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024]
Bryan Cristante	Leonardo Spinazzola	15	[2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024]
Bryan Cristante	Lorenzo Pellegrini	15	[2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024]
Bryan Cristante	Mile Svilar	11	[2010,2011,2012,2013,2014,2015,2016,2017,2019,2021,2022]
Bryan Cristante	Nicolo Zaniolo	15	[2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024]
Bryan Cristante	Paulo Dybala	15	[2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024]
Bryan Cristante	Roger Ibanez	15	[2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024]
Bryan Cristante	Romelu Lukaku	15	[2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024]
