# Player co-occurrence graph for Barcelona
# Format: player1	player2	total_weight	seasons
Alejandro Balde	Andres Iniesta	15	[2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024]
Alejandro Balde	Carles Puyol	15	[2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024]
Alejandro Balde	Dani Alves	15	[2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024]
Alejandro Balde	Frenkie de Jong	15	[2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024]
Alejandro Balde	Gavi	15	[2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024]
Alejandro Balde	Gerard Pique	15	[2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024]
Alejandro Balde	Ilkay Gundogan	15	[2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024]
Alejandro Balde	Inaki Pena	12	[2010,2011,2013,2014,2015,2016,2017,2018,2019,2020,2021,2024]
Alejandro Balde	Jordi Alba	15	[2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024]
Alejandro Balde	Jules Kounde	15	[2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024]
Alejandro Balde	Lamine Yamal	14	[2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023]
Alejandro Balde	Lionel Messi	14	[2010,2011,2012,2013,2014,2015,2016,2018,2019,2020,2021,2022,2023,2024]
Alejandro Balde	Luis Suarez	11	[2010,2012,2013,2014,2015,2017,2019,2020,2021,2022,2024]
Alejandro Balde	Marc-Andre ter Stegen	14	[2010,2011,2012,2013,2014,2015,2016,2017,2018,2020,2021,2022,2023,2024]
Alejandro Balde	Neymar	12	[2010,2011,2012,2013,2014,2015,2016,2017,2019,2020,2021,2024]
Alejandro Balde	Pedri	15	[2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024]
Alejandro Balde	Raphinha	14	[2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2021,2022,2023,2024]
Alejandro Balde	Robert Lewandowski	13	[2010,2012,2013,2014,2015,2017,2018,2019,2020,2021,2022,2023,2024]
Alejandro Balde	Ronald Araujo	15	[2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024]
Alejandro Balde	Samuel Eto'o	13	[2010,2011,2012,2013,2015,2016,2017,2018,2019,2020,2022,2023,2024]
Alejandro Balde	Sergio Busquets	15	[2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024]
Alejandro Balde	Victor Valdes	13	[2010,2011,2012,2013,2015,2016,2017,2018,2019,2020,2021,2022,2023]
Alejandro Balde	Xavi Hernandez	15	[2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024]
Andres Iniesta	Carles Puyol	15	[2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024]
Andres Iniesta	Dani Alves	15	[2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024]
Andres Iniesta	Frenkie de Jong	15	[2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024]
Andres Iniesta	Gavi	15	[2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024]
Andres Iniesta	Gerard Pique	15	[2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024]
Andres Iniesta	Ilkay Gundogan	15	[2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024]
Andres Iniesta	Inaki Pena	12	[2010,2011,2013,2014,2015,2016,2017,2018,2019,2020,2021,2024]
Andres Iniesta	Jordi Alba	15	[2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024]
Andres Iniesta	Jules Kounde	15	[2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024]
Andres Iniesta	Lamine Yamal	14	[2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023]
Andres Iniesta	Lionel Messi	14	[2010,2011,2012,2013,2014,2015,2016,2018,2019,2020,2021,2022,2023,2024]
Andres Iniesta	Luis Suarez	11	[2010,2012,2013,2014,2015,2017,2019,2020,2021,2022,2024]
Andres Iniesta	Marc-Andre ter Stegen	14	[2010,2011,2012,2013,2014,2015,2016,2017,2018,2020,2021,2022,2023,2024]
Andres Iniesta	Neymar	12	[2010,2011,2012,2013,2014,2015,2016,2017,2019,2020,2021,2024]
Andres Iniesta	Pedri	15	[2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024]
Andres Iniesta	Raphinha	14	[2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2021,2022,2023,2024]
Andres Iniesta	Robert Lewandowski	13	[2010,2012,2013,2014,2015,2017,2018,2019,2020,2021,2022,2023,2024]
Andres Iniesta	Ronald Araujo	15	[2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024]
Andres Iniesta	Samuel Eto'o	13	[2010,2011,2012,2013,2015,2016,2017,2018,2019,2020,2022,2023,2024]
Andres Iniesta	Sergio Busquets	15	[2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024]
Andres Iniesta	Victor Valdes	13	[2010,2011,2012,2013,2015,2016,2017,2018,2019,2020,2021,2022,2023]
Andres Iniesta	Xavi Hernandez	15	[2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024]
Carles Puyol	Dani Alves	15	[2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024]
Carles Puyol	Frenkie de Jong	15	[2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024]
Carles Puyol	Gavi	15	[2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024]
Carles Puyol	Gerard Pique	15	[2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024]
Carles Puyol	Ilkay Gundogan	15	[2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024]
Carles Puyol	Inaki Pena	12	[2010,2011,2013,2014,2015,2016,2017,2018,2019,2020,2021,2024]
Carles Puyol	Jordi Alba	15	[2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024]
Carles Puyol	Jules Kounde	15	[2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024]
Carles Puyol	Lamine Yamal	14	[2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023]
Carles Puyol	Lionel Messi	14	[2010,2011,2012,2013,2014,2015,2016,2018,2019,2020,2021,2022,2023,2024]
Carles Puyol	Luis Suarez	11	[2010,2012,2013,2014,2015,2017,2019,2020,2021,2022,2024]
Carles Puyol	Marc-Andre ter Stegen	14	[2010,2011,2012,2013,2014,2015,2016,2017,2018,2020,2021,2022,2023,2024]
Carles Puyol	Neymar	12	[2010,2011,2012,2013,2014,2015,2016,2017,2019,2020,2021,2024]
Carles Puyol	Pedri	15	[2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024]
Carles Puyol	Raphinha	14	[2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2021,2022,2023,2024]
Carles Puyol	Robert Lewandowski	13	[2010,2012,2013,2014,2015,2017,2018,2019,2020,2021,2022,2023,2024]
Carles Puyol	Ronald Araujo	15	[2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024]
Carles Puyol	Samuel Eto'o	13	[2010,2011,2012,2013,2015,2016,2017,2018,2019,2020,2022,2023,2024]
Carles Puyol	Sergio Busquets	15	[2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024]
Carles Puyol	Victor Valdes	13	[2010,2011,2012,2013,2015,2016,2017,2018,2019,2020,2021,2022,2023]
Carles Puyol	Xavi Hernandez	15	[2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024]
Dani Alves	Frenkie de Jong	15	[2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024]
Dani Alves	Gavi	15	[2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024]
Dani Alves	Gerard Pique	15	[2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024]
Dani Alves	Ilkay Gundogan	15	[2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024]
Dani Alves	Inaki Pena	12	[2010,2011,2013,2014,2015,2016,2017,2018,2019,2020,2021,2024]
Dani Alves	Jordi Alba	15	[2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024]
Dani Alves	Jules Kounde	15	[2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024]
Dani Alves	Lamine Yamal	14	[2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023]
Dani Alves	Lionel Messi	14	[2010,2011,2012,2013,2014,2015,2016,2018,2019,2020,2021,2022,2023,2024]
Dani Alves	Luis Suarez	11	[2010,2012,2013,2014,2015,2017,2019,2020,2021,2022,2024]
