# Player co-occurrence graph for Bayern Munich
# Format: player1	player2	total_weight	seasons
Alphonso Davies	Arjen Robben	13	[2010,2011,2012,2013,2014,2015,2016,2017,2019,2020,2022,2023,2024]
Alphonso Davies	Bastian Schweinsteiger	12	[2010,2011,2012,2013,2014,2016,2017,2019,2020,2022,2023,2024]
Alphonso Davies	David Alaba	12	[2010,2011,2012,2013,2014,2015,2016,2017,2020,2022,2023,2024]
Alphonso Davies	Dayot Upamecano	9	[2010,2011,2014,2015,2016,2017,2019,2020,2024]
Alphonso Davies	Eric Maxim Choupo-Moting	11	[2010,2011,2012,2014,2015,2017,2019,2020,2022,2023,2024]
Alphonso Davies	Franck Ribery	13	[2010,2011,2012,2013,2014,2015,2016,2017,2019,2020,2022,2023,2024]
Alphonso Davies	Harry Kane	13	[2010,2011,2012,2013,2014,2015,2016,2017,2019,2020,2022,2023,2024]
Alphonso Davies	Jamal Musiala	13	[2010,2011,2012,2013,2014,2015,2016,2017,2019,2020,2022,2023,2024]
Alphonso Davies	Jerome Boateng	13	[2010,2011,2012,2013,2014,2015,2016,2017,2019,2020,2022,2023,2024]
Alphonso Davies	Joshua Kimmich	10	[2010,2011,2014,2015,2016,2017,2020,2022,2023,2024]
Alphonso Davies	Kingsley Coman	12	[2010,2011,2012,2013,2014,2015,2016,2017,2019,2022,2023,2024]
Alphonso Davies	Leon Goretzka	13	[2010,2011,2012,2013,2014,2015,2016,2017,2019,2020,2022,2023,2024]
Alphonso Davies	Leroy Sane	12	[2010,2011,2013,2014,2015,2016,2017,2019,2020,2022,2023,2024]
Alphonso Davies	Mario Mandzukic	13	[2010,2011,2012,2013,2014,2015,2016,2017,2019,2020,2022,2023,2024]
Alphonso Davies	Mats Hummels	11	[2010,2011,2012,2013,2016,2017,2019,2020,2022,2023,2024]
Alphonso Davies	Matthijs de Ligt	13	[2010,2011,2012,2013,2014,2015,2016,2017,2019,2020,2022,2023,2024]
Alphonso Davies	Oliver Kahn	11	[2010,2011,2013,2015,2016,2017,2019,2020,2022,2023,2024]
Alphonso Davies	Philipp Lahm	12	[2010,2011,2012,2013,2014,2015,2016,2017,2019,2022,2023,2024]
Alphonso Davies	Rafinha	11	[2010,2011,2012,2013,2014,2015,2016,2019,2020,2022,2024]
Alphonso Davies	Robert Lewandowski	13	[2010,2011,2012,2013,2014,2015,2016,2017,2019,2020,2022,2023,2024]
Alphonso Davies	Serge Gnabry	13	[2010,2011,2012,2013,2014,2015,2016,2017,2019,2020,2022,2023,2024]
Alphonso Davies	Sven Ulreich	11	[2010,2011,2012,2013,2014,2015,2017,2019,2020,2022,2023]
Alphonso Davies	Thomas Muller	25	[2010,2011,2012,2013,2014,2015,2016,2017,2019,2020,2022,2023,2024]
Arjen Robben	Bastian Schweinsteiger	13	[2010,2011,2012,2013,2014,2016,2017,2018,2019,2020,2022,2023,2024]
Arjen Robben	David Alaba	14	[2010,2011,2012,2013,2014,2015,2016,2017,2018,2020,2021,2022,2023,2024]
Arjen Robben	Dayot Upamecano	11	[2010,2011,2014,2015,2016,2017,2018,2019,2020,2021,2024]
Arjen Robben	Eric Maxim Choupo-Moting	12	[2010,2011,2012,2014,2015,2017,2019,2020,2021,2022,2023,2024]
Arjen Robben	Franck Ribery	15	[2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024]
Arjen Robben	Harry Kane	14	[2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2022,2023,2024]
Arjen Robben	Jamal Musiala	15	[2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024]
Arjen Robben	Jerome Boateng	14	[2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2022,2023,2024]
Arjen Robben	Joshua Kimmich	12	[2010,2011,2014,2015,2016,2017,2018,2020,2021,2022,2023,2024]
Arjen Robben	Kingsley Coman	14	[2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2021,2022,2023,2024]
Arjen Robben	Leon Goretzka	15	[2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024]
Arjen Robben	Leroy Sane	14	[2010,2011,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024]
Arjen Robben	Mario Mandzukic	15	[2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024]
Arjen Robben	Mats Hummels	13	[2010,2011,2012,2013,2016,2017,2018,2019,2020,2021,2022,2023,2024]
Arjen Robben	Matthijs de Ligt	15	[2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024]
Arjen Robben	Oliver Kahn	13	[2010,2011,2013,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024]
Arjen Robben	Philipp Lahm	14	[2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2021,2022,2023,2024]
Arjen Robben	Rafinha	13	[2010,2011,2012,2013,2014,2015,2016,2018,2019,2020,2021,2022,2024]
Arjen Robben	Robert Lewandowski	15	[2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024]
Arjen Robben	Serge Gnabry	15	[2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024]
Arjen Robben	Sven Ulreich	13	[2010,2011,2012,2013,2014,2015,2017,2018,2019,2020,2021,2022,2023]
Arjen Robben	Thomas Muller	29	[2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024]
Bastian Schweinsteiger	David Alaba	12	[2010,2011,2012,2013,2014,2016,2017,2018,2020,2022,2023,2024]
Bastian Schweinsteiger	Dayot Upamecano	9	[2010,2011,2014,2016,2017,2018,2019,2020,2024]
Bastian Schweinsteiger	Eric Maxim Choupo-Moting	10	[2010,2011,2012,2014,2017,2019,2020,2022,2023,2024]
Bastian Schweinsteiger	Franck Ribery	13	[2010,2011,2012,2013,2014,2016,2017,2018,2019,2020,2022,2023,2024]
Bastian Schweinsteiger	Harry Kane	13	[2010,2011,2012,2013,2014,2016,2017,2018,2019,2020,2022,2023,2024]
Bastian Schweinsteiger	Jamal Musiala	13	[2010,2011,2012,2013,2014,2016,2017,2018,2019,2020,2022,2023,2024]
Bastian Schweinsteiger	Jerome Boateng	13	[2010,2011,2012,2013,2014,2016,2017,2018,2019,2020,2022,2023,2024]
