# Player co-occurrence graph for Legia Warszawa
# Format: player1	player2	total_weight	seasons
Artur Boruc	Artur Jędrzejczyk	11	[2010,2011,2013,2016,2017,2018,2019,2020,2021,2022,2023]
Artur Boruc	Bartosz Bereszyński	11	[2010,2011,2013,2016,2017,2018,2019,2020,2021,2022,2023]
Artur Boruc	Bartosz Kapustka	11	[2010,2011,2013,2016,2017,2018,2019,2020,2021,2022,2023]
Artur Boruc	Blaz Kramer	11	[2010,2011,2013,2016,2017,2018,2019,2020,2021,2022,2023]
Artur Boruc	Carlitos	10	[2010,2011,2013,2017,2018,2019,2020,2021,2022,2023]
Artur Boruc	Ernest Muçi	11	[2010,2011,2013,2016,2017,2018,2019,2020,2021,2022,2023]
Artur Boruc	Jakub Rzeźniczak	11	[2010,2011,2013,2016,2017,2018,2019,2020,2021,2022,2023]
Artur Boruc	Josue	11	[2010,2011,2013,2016,2017,2018,2019,2020,2021,2022,2023]
Artur Boruc	Kacper Tobiasz	11	[2010,2011,2013,2016,2017,2018,2019,2020,2021,2022,2023]
Artur Boruc	Krzysztof Mączyński	11	[2010,2011,2013,2016,2017,2018,2019,2020,2021,2022,2023]
Artur Boruc	Luquinhas	11	[2010,2011,2013,2016,2017,2018,2019,2020,2021,2022,2023]
Artur Boruc	Maik Nawrocki	11	[2010,2011,2013,2016,2017,2018,2019,2020,2021,2022,2023]
Artur Boruc	Marc Gual	10	[2010,2011,2013,2016,2017,2018,2019,2020,2021,2022]
Artur Boruc	Michał Pazdan	11	[2010,2011,2013,2016,2017,2018,2019,2020,2021,2022,2023]
Artur Boruc	Miroslav Radović	11	[2010,2011,2013,2016,2017,2018,2019,2020,2021,2022,2023]
Artur Boruc	Nemanja Nikolić	11	[2010,2011,2013,2016,2017,2018,2019,2020,2021,2022,2023]
Artur Boruc	Radosław Cierzniak	9	[2010,2013,2016,2017,2018,2019,2020,2021,2022]
Artur Boruc	Tomasz Brzyski	11	[2010,2011,2013,2016,2017,2018,2019,2020,2021,2022,2023]
Artur Boruc	Tomasz Jodłowiec	11	[2010,2011,2013,2016,2017,2018,2019,2020,2021,2022,2023]
Artur Boruc	Vadis Odjidja-Ofoe	10	[2010,2011,2013,2016,2017,2018,2019,2020,2021,2023]
Artur Boruc	Yuri Ribeiro	11	[2010,2011,2013,2016,2017,2018,2019,2020,2021,2022,2023]
Artur Jędrzejczyk	Bartosz Bereszyński	15	[2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024]
Artur Jędrzejczyk	Bartosz Kapustka	15	[2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024]
Artur Jędrzejczyk	Blaz Kramer	15	[2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024]
Artur Jędrzejczyk	Carlitos	14	[2010,2011,2012,2013,2014,2015,2017,2018,2019,2020,2021,2022,2023,2024]
Artur Jędrzejczyk	Ernest Muçi	15	[2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024]
Artur Jędrzejczyk	Jakub Rzeźniczak	15	[2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024]
Artur Jędrzejczyk	Josue	15	[2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024]
Artur Jędrzejczyk	Kacper Tobiasz	15	[2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024]
Artur Jędrzejczyk	Krzysztof Mączyński	15	[2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024]
Artur Jędrzejczyk	Luquinhas	15	[2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024]
Artur Jędrzejczyk	Maik Nawrocki	15	[2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024]
Artur Jędrzejczyk	Marc Gual	14	[2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2024]
Artur Jędrzejczyk	Michał Pazdan	15	[2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024]
Artur Jędrzejczyk	Miroslav Radović	15	[2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024]
Artur Jędrzejczyk	Nemanja Nikolić	15	[2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024]
Artur Jędrzejczyk	Radosław Cierzniak	13	[2010,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2024]
Artur Jędrzejczyk	Tomasz Brzyski	15	[2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024]
Artur Jędrzejczyk	Tomasz Jodłowiec	15	[2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024]
Artur Jędrzejczyk	Vadis Odjidja-Ofoe	14	[2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2023,2024]
Artur Jędrzejczyk	Yuri Ribeiro	15	[2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024]
Bartosz Bereszyński	Bartosz Kapustka	15	[2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024]
Bartosz Bereszyński	Blaz Kramer	15	[2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024]
Bartosz Bereszyński	Carlitos	14	[2010,2011,2012,2013,2014,2015,2017,2018,2019,2020,2021,2022,2023,2024]
Bartosz Bereszyński	Ernest Muçi	15	[2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024]
Bartosz Bereszyński	Jakub Rzeźniczak	15	[2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024]
Bartosz Bereszyński	Josue	15	[2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024]
Bartosz Bereszyński	Kacper Tobiasz	15	[2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024]
Bartosz Bereszyński	Krzysztof Mączyński	15	[2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024]
Bartosz Bereszyński	Luquinhas	15	[2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024]
Bartosz Bereszyński	Maik Nawrocki	15	[2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024]
Bartosz Bereszyński	Marc Gual	14	[2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2024]
Bartosz Bereszyński	Michał Pazdan	15	[2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024]
Bartosz Bereszyński	Miroslav Radović	15	[2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024]
Bartosz Bereszyński	Nemanja Nikolić	15	[2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024]
Bartosz Bereszyński	Radosław Cierzniak	13	[2010,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2024]
Bartosz Bereszyński	Tomasz Brzyski	15	[2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024]
Bartosz Bereszyński	Tomasz Jodłowiec	15	[2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024]
Bartosz Bereszyński	Vadis Odjidja-Ofoe	14	[2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2023,2024]
Bartosz Bereszyński	Yuri Ribeiro	15	[2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024]
Bartosz Kapustka	Blaz Kramer	15	[2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024]
Bartosz Kapustka	Carlitos	14	[2010,2011,2012,2013,2014,2015,2017,2018,2019,2020,2021,2022,2023,2024]
Bartosz Kapustka	Ernest Muçi	15	[2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024]
Bartosz Kapustka	Jakub Rzeźniczak	15	[2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024]
Bartosz Kapustka	Josue	15	[2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024]
Bartosz Kapustka	Kacper Tobiasz	15	[2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024]
Bartosz Kapustka	Krzysztof Mączyński	15	[2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024]
Bartosz Kapustka	Luquinhas	15	[2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024]
