# Player co-occurrence graph for Liverpool
# Format: player1	player2	total_weight	seasons
Adrian San Miguel	Alexis Mac Allister	11	[2010,2011,2012,2014,2015,2016,2018,2019,2020,2021,2024]
Adrian San Miguel	Alisson Becker	11	[2010,2012,2014,2015,2016,2018,2019,2020,2021,2022,2024]
Adrian San Miguel	Andrew Robertson	7	[2010,2011,2012,2014,2016,2018,2024]
Adrian San Miguel	Daniel Sturridge	8	[2010,2011,2012,2015,2016,2020,2021,2024]
Adrian San Miguel	Darwin Nunez	8	[2010,2011,2012,2016,2019,2020,2022,2024]
Adrian San Miguel	Diogo Jota	4	[2010,2011,2014,2021]
Adrian San Miguel	Dominik Szoboszlai	9	[2010,2011,2012,2014,2018,2019,2020,2021,2024]
Adrian San Miguel	Fabinho	12	[2010,2011,2012,2014,2015,2016,2018,2019,2020,2021,2022,2024]
Adrian San Miguel	Fernando Torres	7	[2010,2011,2014,2015,2018,2019,2021]
Adrian San Miguel	Gini Wijnaldum	11	[2010,2011,2012,2014,2015,2016,2018,2019,2020,2022,2024]
Adrian San Miguel	Ibrahima Konaté	10	[2010,2011,2012,2014,2016,2019,2020,2021,2022,2024]
Adrian San Miguel	James Milner	10	[2010,2011,2012,2014,2015,2016,2018,2019,2020,2022]
Adrian San Miguel	Jamie Carragher	5	[2010,2012,2016,2018,2020]
Adrian San Miguel	Joe Gomez	9	[2010,2011,2014,2015,2016,2019,2021,2022,2024]
Adrian San Miguel	Joel Matip	10	[2010,2011,2012,2016,2018,2019,2020,2021,2022,2024]
Adrian San Miguel	Luis Diaz	9	[2010,2014,2015,2016,2018,2020,2021,2022,2024]
Adrian San Miguel	Martin Skrtel	10	[2010,2011,2014,2015,2016,2018,2019,2020,2021,2022]
Adrian San Miguel	Mohamed Salah	10	[2010,2012,2014,2015,2016,2018,2020,2021,2022,2024]
Adrian San Miguel	Roberto Firmino	9	[2010,2012,2014,2015,2016,2018,2019,2021,2024]
Adrian San Miguel	Sami Hyypia	8	[2010,2015,2016,2019,2020,2021,2022,2024]
Adrian San Miguel	Steven Gerrard	11	[2010,2011,2012,2014,2015,2016,2018,2019,2021,2022,2024]
Adrian San Miguel	Thiago Alcantara	12	[2010,2011,2012,2014,2015,2016,2018,2019,2020,2021,2022,2024]
Adrian San Miguel	Trent Alexander-Arnold	9	[2010,2012,2014,2015,2016,2018,2021,2022,2024]
Adrian San Miguel	Virgil van Dijk	10	[2010,2011,2012,2014,2015,2016,2018,2019,2021,2022]
Adrian San Miguel	Xabi Alonso	12	[2010,2011,2012,2014,2015,2016,2018,2019,2020,2021,2022,2024]
Alexis Mac Allister	Alisson Becker	11	[2010,2012,2014,2015,2016,2018,2019,2020,2021,2023,2024]
Alexis Mac Allister	Andrew Robertson	8	[2010,2011,2012,2014,2016,2018,2023,2024]
Alexis Mac Allister	Daniel Sturridge	9	[2010,2011,2012,2015,2016,2020,2021,2023,2024]
Alexis Mac Allister	Darwin Nunez	7	[2010,2011,2012,2016,2019,2020,2024]
Alexis Mac Allister	Diogo Jota	5	[2010,2011,2014,2021,2023]
Alexis Mac Allister	Dominik Szoboszlai	10	[2010,2011,2012,2014,2018,2019,2020,2021,2023,2024]
Alexis Mac Allister	Fabinho	12	[2010,2011,2012,2014,2015,2016,2018,2019,2020,2021,2023,2024]
Alexis Mac Allister	Fernando Torres	7	[2010,2011,2014,2015,2018,2019,2021]
Alexis Mac Allister	Gini Wijnaldum	11	[2010,2011,2012,2014,2015,2016,2018,2019,2020,2023,2024]
Alexis Mac Allister	Ibrahima Konaté	10	[2010,2011,2012,2014,2016,2019,2020,2021,2023,2024]
Alexis Mac Allister	James Milner	10	[2010,2011,2012,2014,2015,2016,2018,2019,2020,2023]
Alexis Mac Allister	Jamie Carragher	6	[2010,2012,2016,2018,2020,2023]
Alexis Mac Allister	Joe Gomez	9	[2010,2011,2014,2015,2016,2019,2021,2023,2024]
Alexis Mac Allister	Joel Matip	9	[2010,2011,2012,2016,2018,2019,2020,2021,2024]
Alexis Mac Allister	Luis Diaz	9	[2010,2014,2015,2016,2018,2020,2021,2023,2024]
Alexis Mac Allister	Martin Skrtel	10	[2010,2011,2014,2015,2016,2018,2019,2020,2021,2023]
Alexis Mac Allister	Mohamed Salah	10	[2010,2012,2014,2015,2016,2018,2020,2021,2023,2024]
Alexis Mac Allister	Roberto Firmino	9	[2010,2012,2014,2015,2016,2018,2019,2021,2024]
Alexis Mac Allister	Sami Hyypia	8	[2010,2015,2016,2019,2020,2021,2023,2024]
Alexis Mac Allister	Steven Gerrard	11	[2010,2011,2012,2014,2015,2016,2018,2019,2021,2023,2024]
Alexis Mac Allister	Thiago Alcantara	12	[2010,2011,2012,2014,2015,2016,2018,2019,2020,2021,2023,2024]
Alexis Mac Allister	Trent Alexander-Arnold	9	[2010,2012,2014,2015,2016,2018,2021,2023,2024]
Alexis Mac Allister	Virgil van Dijk	10	[2010,2011,2012,2014,2015,2016,2018,2019,2021,2023]
Alexis Mac Allister	Xabi Alonso	12	[2010,2011,2012,2014,2015,2016,2018,2019,2020,2021,2023,2024]
Alisson Becker	Andrew Robertson	8	[2010,2012,2014,2016,2017,2018,2023,2024]
Alisson Becker	Daniel Sturridge	10	[2010,2012,2013,2015,2016,2017,2020,2021,2023,2024]
Alisson Becker	Darwin Nunez	7	[2010,2012,2016,2019,2020,2022,2024]
Alisson Becker	Diogo Jota	4	[2010,2014,2021,2023]
Alisson Becker	Dominik Szoboszlai	11	[2010,2012,2013,2014,2017,2018,2019,2020,2021,2023,2024]
Alisson Becker	Fabinho	14	[2010,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024]
Alisson Becker	Fernando Torres	8	[2010,2013,2014,2015,2017,2018,2019,2021]
Alisson Becker	Gini Wijnaldum	13	[2010,2012,2013,2014,2015,2016,2017,2018,2019,2020,2022,2023,2024]
Alisson Becker	Ibrahima Konaté	12	[2010,2012,2013,2014,2016,2017,2019,2020,2021,2022,2023,2024]
Alisson Becker	James Milner	12	[2010,2012,2013,2014,2015,2016,2017,2018,2019,2020,2022,2023]
Alisson Becker	Jamie Carragher	8	[2010,2012,2013,2016,2017,2018,2020,2023]
Alisson Becker	Joe Gomez	11	[2010,2013,2014,2015,2016,2017,2019,2021,2022,2023,2024]
Alisson Becker	Joel Matip	9	[2010,2012,2016,2018,2019,2020,2021,2022,2024]
Alisson Becker	Luis Diaz	11	[2010,2013,2014,2015,2016,2018,2020,2021,2022,2023,2024]
Alisson Becker	Martin Skrtel	12	[2010,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023]
Alisson Becker	Mohamed Salah	13	[2010,2012,2013,2014,2015,2016,2017,2018,2020,2021,2022,2023,2024]
Alisson Becker	Roberto Firmino	10	[2010,2012,2014,2015,2016,2017,2018,2019,2021,2024]
Alisson Becker	Sami Hyypia	10	[2010,2013,2015,2016,2019,2020,2021,2022,2023,2024]
Alisson Becker	Steven Gerrard	12	[2010,2012,2013,2014,2015,2016,2018,2019,2021,2022,2023,2024]
Alisson Becker	Thiago Alcantara	14	[2010,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024]
Alisson Becker	Trent Alexander-Arnold	11	[2010,2012,2014,2015,2016,2017,2018,2021,2022,2023,2024]
Alisson Becker	Virgil van Dijk	12	[2010,2012,2013,2014,2015,2016,2017,2018,2019,2021,2022,2023]
Alisson Becker	Xabi Alonso	14	[2010,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024]
Andrew Robertson	Daniel Sturridge	7	[2010,2011,2012,2016,2017,2023,2024]
Andrew Robertson	Darwin Nunez	5	[2010,2011,2012,2016,2024]
Andrew Robertson	Diogo Jota	4	[2010,2011,2014,2023]
Andrew Robertson	Dominik Szoboszlai	8	[2010,2011,2012,2014,2017,2018,2023,2024]
