# Player co-occurrence graph for Manchester United
# Format: player1	player2	total_weight	seasons
Casemiro	Cristiano Ronaldo	14	[2010,2011,2012,2013,2014,2015,2016,2017,2019,2020,2021,2022,2023,2024]
Andre Onana	Anthony Martial	12	[2010,2011,2013,2014,2015,2016,2017,2018,2019,2021,2023,2024]
Andre Onana	Bruno Fernandes	12	[2010,2011,2013,2014,2015,2016,2017,2018,2019,2021,2023,2024]
Andre Onana	Casemiro	12	[2010,2011,2013,2014,2015,2016,2017,2018,2019,2021,2023,2024]
Andre Onana	Christian Eriksen	12	[2010,2011,2013,2014,2015,2016,2017,2018,2019,2021,2023,2024]
Andre Onana	Cristiano Ronaldo	11	[2010,2011,2013,2014,2015,2016,2017,2019,2021,2023,2024]
Andre Onana	David Beckham	12	[2010,2011,2013,2014,2015,2016,2017,2018,2019,2021,2023,2024]
Andre Onana	David de Gea	11	[2010,2011,2013,2014,2015,2016,2017,2018,2019,2021,2024]
Andre Onana	Eric Cantona	9	[2010,2013,2014,2015,2016,2017,2018,2023,2024]
Andre Onana	Gary Neville	12	[2010,2011,2013,2014,2015,2016,2017,2018,2019,2021,2023,2024]
Andre Onana	Harry Maguire	12	[2010,2011,2013,2014,2015,2016,2017,2018,2019,2021,2023,2024]
Andre Onana	Lisandro Martinez	12	[2010,2011,2013,2014,2015,2016,2017,2018,2019,2021,2023,2024]
Andre Onana	Luke Shaw	12	[2010,2011,2013,2014,2015,2016,2017,2018,2019,2021,2023,2024]
Andre Onana	Nemanja Vidic	12	[2010,2011,2013,2014,2015,2016,2017,2018,2019,2021,2023,2024]
Andre Onana	Patrice Evra	12	[2010,2011,2013,2014,2015,2016,2017,2018,2019,2021,2023,2024]
Andre Onana	Paul Scholes	12	[2010,2011,2013,2014,2015,2016,2017,2018,2019,2021,2023,2024]
Andre Onana	Peter Schmeichel	9	[2010,2011,2015,2016,2017,2019,2021,2023,2024]
Andre Onana	Rio Ferdinand	12	[2010,2011,2013,2014,2015,2016,2017,2018,2019,2021,2023,2024]
Andre Onana	Roy Keane	12	[2010,2011,2013,2014,2015,2016,2017,2018,2019,2021,2023,2024]
Andre Onana	Ruud van Nistelrooy	11	[2010,2011,2014,2015,2016,2017,2018,2019,2021,2023,2024]
Andre Onana	Ryan Giggs	12	[2010,2011,2013,2014,2015,2016,2017,2018,2019,2021,2023,2024]
Andre Onana	Wayne Rooney	9	[2010,2011,2014,2015,2016,2018,2019,2023,2024]
