# Player co-occurrence graph for Real Madrid
# Format: player1	player2	total_weight	seasons
David Alaba	Toni Kroos	15	[2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024]
Antonio Rudiger	Casemiro	15	[2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024]
Antonio Rudiger	Claude Makelele	15	[2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024]
Antonio Rudiger	Cristiano Ronaldo	14	[2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2021,2022,2023,2024]
Antonio Rudiger	Dani Carvajal	15	[2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024]
Antonio Rudiger	David Alaba	15	[2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024]
Antonio Rudiger	Eduardo Camavinga	15	[2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024]
Antonio Rudiger	Federico Valverde	15	[2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024]
Antonio Rudiger	Ferland Mendy	15	[2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024]
Antonio Rudiger	Gareth Bale	13	[2010,2011,2012,2013,2015,2016,2017,2018,2019,2020,2022,2023,2024]
Antonio Rudiger	Iker Casillas	14	[2010,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024]
Antonio Rudiger	Jude Bellingham	15	[2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024]
Antonio Rudiger	Karim Benzema	10	[2010,2011,2012,2013,2014,2015,2016,2017,2022,2024]
Antonio Rudiger	Kylian Mbappe	12	[2010,2012,2013,2016,2017,2018,2019,2020,2021,2022,2023,2024]
