# Format: year	player1	player2	weight	team
2010	Adrian San Miguel	Alexis Mac Allister	1	Liverpool
2010	Adrian San Miguel	Alisson Becker	1	Liverpool
2010	Adrian San Miguel	Andrew Robertson	1	Liverpool
2010	Adrian San Miguel	Daniel Sturridge	1	Liverpool
2010	Adrian San Miguel	Darwin Nunez	1	Liverpool
2010	Adrian San Miguel	Diogo Jota	1	Liverpool
2010	Adrian San Miguel	Dominik Szoboszlai	1	Liverpool
2010	Adrian San Miguel	Fabinho	1	Liverpool
2010	Adrian San Miguel	Fernando Torres	1	Liverpool
2010	Adrian San Miguel	Gini Wijnaldum	1	Liverpool
2010	Adrian San Miguel	Ibrahima Konaté	1	Liverpool
2010	Adrian San Miguel	James Milner	1	Liverpool
2010	Adrian San Miguel	Jamie Carragher	1	Liverpool
2010	Adrian San Miguel	Joe Gomez	1	Liverpool
2010	Adrian San Miguel	Joel Matip	1	Liverpool
2010	Adrian San Miguel	Luis Diaz	1	Liverpool
2010	Adrian San Miguel	Martin Skrtel	1	Liverpool
2010	Adrian San Miguel	Mohamed Salah	1	Liverpool
2010	Adrian San Miguel	Roberto Firmino	1	Liverpool
2010	Adrian San Miguel	Sami Hyypia	1	Liverpool
2010	Adrian San Miguel	Steven Gerrard	1	Liverpool
2010	Adrian San Miguel	Thiago Alcantara	1	Liverpool
2010	Adrian San Miguel	Trent Alexander-Arnold	1	Liverpool
2010	Adrian San Miguel	Virgil van Dijk	1	Liverpool
2010	Adrian San Miguel	Xabi Alonso	1	Liverpool
2010	Alejandro Balde	Andres Iniesta	1	Barcelona
2010	Alejandro Balde	Carles Puyol	1	Barcelona
2010	Alejandro Balde	Dani Alves	1	Barcelona
2010	Alejandro Balde	Frenkie de Jong	1	Barcelona
2010	Alejandro Balde	Gavi	1	Barcelona
2010	Alejandro Balde	Gerard Pique	1	Barcelona
2010	Alejandro Balde	Ilkay Gundogan	1	Barcelona
2010	Alejandro Balde	Inaki Pena	1	Barcelona
2010	Alejandro Balde	Jordi Alba	1	Barcelona
2010	Alejandro Balde	Jules Kounde	1	Barcelona
2010	Alejandro Balde	Lamine Yamal	1	Barcelona
2010	Alejandro Balde	Lionel Messi	1	Barcelona
2010	Alejandro Balde	Luis Suarez	1	Barcelona
2010	Alejandro Balde	Marc-Andre ter Stegen	1	Barcelona
2010	Alejandro Balde	Neymar	1	Barcelona
2010	Alejandro Balde	Pedri	1	Barcelona
2010	Alejandro Balde	Raphinha	1	Barcelona
2010	Alejandro Balde	Robert Lewandowski	1	Barcelona
2010	Alejandro Balde	Ronald Araujo	1	Barcelona
2010	Alejandro Balde	Samuel Eto'o	1	Barcelona
2010	Alejandro Balde	Sergio Busquets	1	Barcelona
2010	Alejandro Balde	Victor Valdes	1	Barcelona
2010	Alejandro Balde	Xavi Hernandez	1	Barcelona
2010	Alessandro Nesta	Andrea Pirlo	1	AC Milan
2010	Alessandro Nesta	Andriy Shevchenko	1	AC Milan
2010	Alessandro Nesta	Brahim Diaz	1	AC Milan
2010	Alessandro Nesta	Cafu	1	AC Milan
2010	Alessandro Nesta	Christian Pulisic	1	AC Milan
2010	Alessandro Nesta	Clarence Seedorf	1	AC Milan
2010	Alessandro Nesta	Davide Calabria	1	AC Milan
2010	Alessandro Nesta	Fikayo Tomori	1	AC Milan
2010	Alessandro Nesta	Filippo Inzaghi	1	AC Milan
2010	Alessandro Nesta	Gennaro Gattuso	1	AC Milan
2010	Alessandro Nesta	Gianluigi Donnarumma	1	AC Milan
2010	Alessandro Nesta	Ismael Bennacer	1	AC Milan
2010	Alessandro Nesta	Kaka	1	AC Milan
2010	Alessandro Nesta	Mike Maignan	1	AC Milan
2010	Alessandro Nesta	Olivier Giroud	1	AC Milan
2010	Alessandro Nesta	Paolo Maldini	1	AC Milan
2010	Alessandro Nesta	Rafael Leao	1	AC Milan
2010	Alessandro Nesta	Samuel Chukwueze	1	AC Milan
2010	Alessandro Nesta	Sandro Tonali	1	AC Milan
2010	Alessandro Nesta	Simon Kjær	1	AC Milan
2010	Alessandro Nesta	Theo Hernandez	1	AC Milan
2010	Alessandro Nesta	Zlatan Ibrahimović	1	AC Milan
2010	Alexis Mac Allister	Alisson Becker	1	Liverpool
