Source,Target,Weight,Type
Busquets,Messi,581,Undirected
Busquets,Piqué,557,Undirected
Messi,Piqué,516,Undirected
Iniesta,Messi,501,Undirected
Víctor Valdés,Xavi,437,Undirected
Iniesta,Xavi,436,Undirected
Puyol,Xavi,429,Undirected
Busquets,Jordi Alba,428,Undirected
Iniesta,Víctor Valdés,401,Undirected
Messi,Xavi,396,Undirected
Busquets,Iniesta,382,Undirected
Busquets,Xavi,367,Undirected
Jordi Alba,Piqué,363,Undirected
Puyol,Víctor Valdés,362,Undirected
Iniesta,Piqué,359,Undirected
Jordi Alba,Messi,355,Undirected
Daniel Alves,Messi,349,Undirected
Messi,Víctor Valdés,345,Undirected
Busquets,Ter Stegen,343,Undirected
Busquets,Daniel Alves,333,Undirected
Iniesta,Puyol,327,Undirected
Mascherano,Messi,310,Undirected
Busquets,S. Roberto,309,Undirected
Daniel Alves,Xavi,309,Undirected
Daniel Alves,Piqué,307,Undirected
Jordi Alba,Ter Stegen,307,Undirected
Piqué,Xavi,305,Undirected
Daniel Alves,Iniesta,300,Undirected
Messi,Rakitić,289,Undirected
Busquets,Rakitić,285,Undirected
Messi,Pedro,282,Undirected
Busquets,Mascherano,282,Undirected
Rakitić,Suárez,273,Undirected
Piqué,S. Roberto,273,Undirected
Messi,Suárez,270,Undirected
Piqué,Ter Stegen,270,Undirected
Busquets,Pedro,268,Undirected
Pedro,Xavi,267,Undirected
Busquets,Suárez,266,Undirected
Messi,S. Roberto,266,Undirected
Piqué,Rakitić,265,Undirected
Jordi Alba,S. Roberto,264,Undirected
Messi,Puyol,264,Undirected
Iniesta,Mascherano,258,Undirected
Jordi Alba,Rakitić,257,Undirected
Iniesta,Pedro,256,Undirected
Messi,Ter Stegen,254,Undirected
Daniel Alves,Pedro,252,Undirected
Piqué,Suárez,251,Undirected
Busquets,Guardiola,250,Undirected
S. Roberto,Ter Stegen,247,Undirected
Guardiola,Xavi,243,Undirected
Daniel Alves,Víctor Valdés,239,Undirected
Jordi Alba,Suárez,238,Undirected
Mascherano,Piqué,238,Undirected
Pedro,Piqué,237,Undirected
Daniel Alves,Mascherano,231,Undirected
Rakitić,S. Roberto,226,Undirected
Busquets,Víctor Valdés,223,Undirected
Rakitić,Ter Stegen,221,Undirected
S. Roberto,Suárez,220,Undirected
Guardiola,Messi,218,Undirected
Puyol,Rijkaard,217,Undirected
Piqué,Víctor Valdés,212,Undirected
Rijkaard,Víctor Valdés,212,Undirected
Suárez,Ter Stegen,208,Undirected
Pedro,Víctor Valdés,208,Undirected
Iniesta,Jordi Alba,207,Undirected
Daniel Alves,Guardiola,204,Undirected
De Jong,Ter Stegen,202,Undirected
Busquets,De Jong,201,Undirected
Rijkaard,Xavi,201,Undirected
Márquez,Víctor Valdés,201,Undirected
Guardiola,Víctor Valdés,199,Undirected
Mascherano,Pedro,195,Undirected
Iniesta,Rijkaard,194,Undirected
Rijkaard,Ronaldinho,194,Undirected
Guardiola,Keita,192,Undirected
Márquez,Xavi,192,Undirected
Márquez,Puyol,191,Undirected
Guardiola,Sergi,188,Undirected
Guardiola,Puyol,186,Undirected
Mascherano,Xavi,185,Undirected
Guardiola,Iniesta,184,Undirected
Guardiola,Piqué,183,Undirected
Iniesta,Márquez,183,Undirected
Busquets,Dembélé,178,Undirected
Ronaldinho,Víctor Valdés,178,Undirected
Puyol,Ronaldinho,177,Undirected
Eto'o,Víctor Valdés,175,Undirected
Dembélé,Ter Stegen,173,Undirected
Cocu,Kluivert,172,Undirected
Eto'o,Puyol,172,Undirected
Guardiola,Pedro,171,Undirected
Jordi Alba,Mascherano,169,Undirected
Messi,Neymar,168,Undirected
De Jong,Jordi Alba,168,Undirected
Keita,Messi,167,Undirected
Adriano,Messi,166,Undirected
Busquets,Neymar,165,Undirected
Márquez,Rijkaard,165,Undirected
Bakero,Cruijff,164,Undirected
Eto'o,Iniesta,164,Undirected
Luis Enrique,Messi,163,Undirected
Figo,Sergi,163,Undirected
Ronaldinho,Xavi,163,Undirected
Jordi Alba,Xavi,163,Undirected
Luis Enrique,Rakitić,163,Undirected
Keita,Xavi,162,Undirected
Luis Enrique,Sergi,161,Undirected
Eto'o,Xavi,160,Undirected
Abidal,Xavi,160,Undirected
Daniel Alves,Keita,160,Undirected
Iniesta,Rakitić,159,Undirected
Dembélé,Jordi Alba,159,Undirected
Oleguer,Rijkaard,159,Undirected
Daniel Alves,Puyol,159,Undirected
Amor,Cruijff,159,Undirected
